GUID,Title,Doc Type,Body Length,Overall Status,Tool1 Status,Tool1 Issues,Tool2 Status,Tool2 Issues,Tool3 Status,Tool3 Issues,Tool4 Status,Tool4 Issues
cd798399-8449-7324-9d3a-db16373ae0d3,SPOC Created Incidents Daily*_20250304_235759.344_EST.csv,Spreadsheet,869924,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
9dc1d2e8-7871-36c0-99c0-4cba2f77c8a1,SPOC Daily Incidents (Manual FCR Compute)*_20250225_042321.371_EST.csv,Spreadsheet,762592,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
c38a5377-c042-49fc-68c1-51c6c3fcfceb,SPOC Daily Incidents (Manual FCR Compute)*_20250309_032318.364_EST.csv,Spreadsheet,544950,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
138f0aba-e19b-5d91-fd7e-2281615b19cc,5199-TS.csv,Spreadsheet,348997,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
91402a87-d24e-9034-52f1-74de40b93224,Nesting Audits for EOD Reports,Spreadsheet,330577,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
afd64d43-7302-76f3-a533-902dc0d519df,QBR test,Spreadsheet,260071,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
04e5a058-793a-679b-0cf5-2b765c983b10,CE Care Calibration | Customer Aspiration QA form (Responses),Spreadsheet,253666,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
67bb0b9a-e254-4f07-8d21-40ed96cb079d,Copy of CE Care Calibration | Customer Aspiration QA form (Responses),Spreadsheet,253479,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
6151bcde-2090-b025-a4e4-0b6db04a961c,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,253036,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
a2c4df3b-97f9-578a-3dbb-969e81471897,Care Calibrations,Spreadsheet,252931,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
31482473-a6a6-b11e-759d-c3865b246cdb,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251952,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
4f7f8391-7ade-4329-9d5e-8fd63cc29156,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251922,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
a1a34c0a-584b-f1b0-24a9-600db2c55265,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251920,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
eaab5bf5-a29e-bdbc-f766-220ab315d189,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251920,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
ed7d6aa9-0534-fe99-79e2-3a8f256e917c,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251879,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
287939ff-8fdf-c363-28f5-a22e10ff8f69,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251817,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
eb3ae0be-1937-1811-2d9d-e1e921a6cdfd,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251811,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
f384ccaa-1368-6ac1-10ce-8ae2b6525393,Copy of 2025 Amex Auditing form  (Responses),Spreadsheet,251811,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
6c23ead9-c945-6da9-5115-fdabe8407fdc,Import Audits,Spreadsheet,251776,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
01142eaf-6073-f610-0497-4d610eca78a2,ATA & Calibration Data,Spreadsheet,251764,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
46bff310-3843-cead-591a-12e34f65588d,2022 TIG Barclays CARE Form - 5 STAR Behavior  (Responses),Spreadsheet,251747,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
dc7b3cec-2c57-cb8c-b3f3-159d2cc2c2df,TELUS_Digital_South_Africa_-_Payroll_Report,Spreadsheet,251279,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
d9811db8-4976-1d29-76d3-df326a41bd72,Untitled spreadsheet,Spreadsheet,251125,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
